model,acc,time,batch_size,max_memory_usage,mean_power_consumption
8,0.7789473684210526,1.493077039718628,1,2888.2265625,32.35883333333334
8,0.7789473684210526,1.0401332378387451,4,2926.51171875,31.28972727272728
8,0.7789473684210526,0.9433255195617676,8,2927.41015625,31.10154545454545
8,0.7789473684210526,0.9303958415985109,16,2937.8046875,32.530545454545454
8,0.7789473684210526,0.8970527648925781,32,2893.8828125,32.18518181818182
9,0.8421052631578947,1.9178247451782229,1,2929.640625,33.45161538461538
9,0.8421052631578947,1.1947243213653564,4,2944.05078125,35.881083333333336
9,0.8421052631578947,1.1593942642211914,8,2939.1484375,35.95116666666667
9,0.8421052631578947,1.1024014949798584,16,2936.76171875,35.21783333333334
9,0.8421052631578947,1.0439887046813965,32,2931.9765625,34.470454545454544
10,0.8631578947368421,4.730912923812866,1,2974.01953125,71.0226818181818
10,0.8631578947368421,4.583230018615723,4,2986.0078125,70.4659090909091
10,0.8631578947368421,4.463657855987549,8,2957.6640625,69.31747619047619
10,0.8631578947368421,4.407980442047119,16,2965.8125,70.89333333333333
10,0.8631578947368421,4.439356565475464,32,2992.02734375,72.55514285714285
11,0.7578947368421053,1.7762172222137451,1,2937.7890625,40.82184615384615
11,0.7578947368421053,1.1672582626342771,4,2947.4765625,33.95125
11,0.7578947368421053,1.1275429725646973,8,2946.7109375,39.2895
11,0.7578947368421053,1.0897648334503174,16,2948.6953125,35.35933333333333
11,0.7578947368421053,1.0093224048614502,32,2934.25390625,31.89063636363636
12,0.7894736842105263,1.4533743858337402,1,2927.72265625,36.02525000000001
12,0.7894736842105263,1.0704336166381836,4,2954.53125,32.502
12,0.7894736842105263,1.0081920623779297,8,2929.203125,32.485818181818175
12,0.7894736842105263,0.9940156936645508,16,2921.20703125,28.0559
12,0.7894736842105263,0.960012912750244,32,2932.04296875,30.569300000000005
0,0.7157894736842105,0.9880774021148682,1,2901.41015625,32.8529
0,0.7157894736842105,0.880629301071167,4,2897.05859375,31.6827
0,0.7157894736842105,0.8707325458526611,8,2924.0,33.4568
0,0.7157894736842105,0.8625845909118652,16,2943.76171875,32.0001
0,0.7157894736842105,0.8265302181243896,32,2916.0703125,30.549699999999994
1,0.7684210526315789,1.1624977588653564,1,2905.91796875,35.34125
